1	Marcelo Isai a	García	Mirón	marcelo@outlook.com	9911362600	12/12/1997	MADA971212HVZRMN04	22000	29	6
2	Oliver Alexis	Martínez	Estudillo	alexis@gmail.com	8897877417	18/04/1996	DIAE960418HOCSVL07	20000	19	6
3	Oscar	Mendoza	García	omscar@outlook.es	7711589568	07/04/1994	RUVJ940407HOCSSN03	NULL	29	4
4	Edgar	Martínez	Espinoza	edgargmail.com	5528356144	23/05/1996	DOML960323HMNMTS00	25000	12	5
5	Rodrigo	Tolentino	Martínez	rodrigo@gmail.com	4421436224	13/03/1998	TOMR980313HHGLRD06	NULL	13	5
6	Jesiel	García	Pérez	jesiel@gmail.com	3317901341	08/11/1990	GAPJ901108HHGRRS00	NULL	13	5
8	Luis Enrique	Lopez 	Cruz	luis@gmail.com	2235700644	15/07/1997	LOCL970715HGTPRS04	NULL	16	5
9	Rolando	Marquez	Hernandez	rolando@gmail.com	1168329969	08/03/1997	MAHR97030815HRL600	NULL	15	4
13	Rubén	Rojas	Mantilla	ruben@outlook.com	5594228277	17/01/1997	ROMR910117HVZJNB00	21000	30	4
14	Ana Patricia	Apatiga 	Olguín	patricia@gmail.com	6614913002	23/06/1998	AAOA980623MHGPLN03	22000	13	3
15	Bryan Adiel 	Arroyo 	Tavera	brayan@gmail.com	7719034047	02/04/1998	AOTB980402HHGRVR05	20000	13	3
16	Carlos Arath	Serrano	Berna	carlos@gmail.com	8878893014	05/03/2000	SEBC000305HQTRRRA5	250000	22	3
17	Edith	Rasgado	Sarabia	edith@gmail.com	9911777500	29/04/1994	RASE940429MOCSRD00	20000	20	3
18	Víctor	Marín	Pérez	victor@gmail.com	2215066253	04/06/1998	MAPV980604HDFRRC01	21000	15	3
19	Lucas	Lopez	Cardona	lucas@gmail.com	7775869485	24/05/1995	RUVJ940407HOCSSN03	30000	21	3
